lemma,n_literal,n_metaphorical,centroid_distance
grimace,1,1,0.17039811611175537
assemble,1,4,0.15179306268692017
activate,1,2,0.13484305143356323
register,3,1,0.12059372663497925
shed,1,2,0.11445516347885132
rank,1,1,0.11263072490692139
march,1,1,0.10556507110595703
test,7,1,0.10461342334747314
smother,1,1,0.10385346412658691
loom,2,1,0.09562605619430542
tailor,1,1,0.0947803258895874
order,7,1,0.09194028377532959
click,3,1,0.08923482894897461
reside,1,1,0.08873879909515381
donate,1,2,0.08751851320266724
conquer,1,1,0.08577996492385864
bar,1,1,0.08556139469146729
enact,1,2,0.08287674188613892
sing,8,1,0.08180862665176392
posture,1,2,0.07954508066177368
question,2,1,0.07905298471450806
mark,8,1,0.07878464460372925
promise,8,1,0.07788270711898804
aspire,1,1,0.07475173473358154
streamline,1,1,0.07069462537765503
pinch,2,2,0.06801068782806396
communicate,2,2,0.0679808259010315
reserve,2,1,0.06773829460144043
underlie,2,1,0.06720346212387085
prune,1,1,0.066608726978302
shiver,1,1,0.0654037594795227
slide,5,1,0.06532186269760132
display,3,2,0.06407922506332397
unfold,2,1,0.0635802149772644
thrash,1,1,0.06347519159317017
lag,2,3,0.06214749813079834
absorb,1,3,0.06214243173599243
crush,1,1,0.06189507246017456
defeat,1,4,0.060853660106658936
couple,1,1,0.060841143131256104
confirm,7,3,0.06067878007888794
overlap,5,1,0.060266733169555664
exchange,1,1,0.05981642007827759
transmit,1,1,0.05890047550201416
bleed,2,1,0.05876576900482178
crawl,1,1,0.05796337127685547
boil,1,2,0.05689883232116699
fetch,2,1,0.05599796772003174
spur,1,1,0.055585384368896484
spot,2,1,0.05485379695892334
chase,1,2,0.05394488573074341
release,3,3,0.05339193344116211
flow,1,3,0.053306758403778076
trace,1,1,0.05291855335235596
mount,2,4,0.05242365598678589
search,6,3,0.05223006010055542
dazzle,1,1,0.051875948905944824
reinterpret,1,1,0.05122298002243042
tumble,4,1,0.05044335126876831
hop,8,2,0.049653053283691406
beg,4,1,0.04963034391403198
interrupt,4,2,0.04961639642715454
issue,6,3,0.04957157373428345
compete,4,1,0.04914730787277222
caress,1,1,0.049017250537872314
submit,3,1,0.047837674617767334
cheer,2,1,0.04729706048965454
inform,8,1,0.04691505432128906
sustain,2,2,0.0467371940612793
shove,2,1,0.04595547914505005
damage,1,1,0.045794546604156494
swallow,2,1,0.04516112804412842
warn,8,2,0.044945359230041504
reflect,3,8,0.04409271478652954
administer,3,2,0.04355043172836304
pursue,1,6,0.042460858821868896
hug,2,1,0.04213994741439819
propel,1,1,0.04212445020675659
rejoice,1,1,0.041054606437683105
wipe,2,2,0.04068797826766968
postpone,4,1,0.040600478649139404
burn,8,2,0.039894819259643555
hurl,1,1,0.03943657875061035
strew,1,1,0.039316654205322266
bow,3,2,0.03918427228927612
paint,8,2,0.0391424298286438
hamper,1,3,0.03841376304626465
list,8,2,0.03696560859680176
moan,3,2,0.03685969114303589
hurt,4,1,0.03669935464859009
manufacture,5,1,0.036260128021240234
dominate,2,7,0.036041855812072754
stimulate,2,1,0.03603476285934448
launch,2,7,0.03576463460922241
accept,8,3,0.035605549812316895
describe,8,8,0.03557544946670532
resist,2,1,0.035545289516448975
reconstruct,1,2,0.034869253635406494
rattle,2,1,0.03486597537994385
decay,1,2,0.034754037857055664
tremble,1,3,0.03444349765777588
presume,5,1,0.034178316593170166
acquiesce,2,1,0.034158170223236084
survive,5,2,0.0337294340133667
invent,4,1,0.03366035223007202
confine,2,3,0.03329843282699585
fold,3,2,0.03305941820144653
swing,5,4,0.03244459629058838
enlighten,1,1,0.03230452537536621
sit,8,8,0.032296836376190186
kick,7,3,0.03167062997817993
award,2,2,0.03138059377670288
integrate,8,1,0.03066772222518921
wonder,8,1,0.0305747389793396
perform,8,2,0.030321955680847168
phone,8,1,0.030044078826904297
rest,8,8,0.029876291751861572
transfer,3,2,0.029744863510131836
remove,6,8,0.029638350009918213
clutch,4,1,0.02874988317489624
light,5,2,0.02868431806564331
assist,8,4,0.028549611568450928
amuse,3,2,0.028317630290985107
squeeze,4,1,0.027968943119049072
supervise,7,1,0.027747392654418945
strike,8,8,0.027180194854736328
flee,2,1,0.026717543601989746
acknowledge,8,1,0.02641153335571289
owe,8,5,0.02603691816329956
see,8,8,0.02587902545928955
tackle,3,8,0.02548438310623169
serve,8,8,0.025327086448669434
enjoy,8,3,0.02492392063140869
