lemma,n_literal,n_metaphorical,centroid_distance
assemble,1,4,1.0255880169570446
march,1,1,0.9428226873278618
enact,1,2,0.8946982994675636
question,2,1,0.8865776211023331
shed,1,2,0.8759930282831192
activate,1,2,0.8715119808912277
loom,2,1,0.8704665005207062
register,3,1,0.8640615493059158
unfold,2,1,0.8393246680498123
sing,8,1,0.8137404322624207
posture,1,2,0.8117744028568268
interrupt,4,2,0.7747450917959213
tailor,1,1,0.7733101099729538
confirm,7,3,0.764814168214798
prune,1,1,0.7388544678688049
order,7,1,0.7349904179573059
rank,1,1,0.7339426279067993
conquer,1,1,0.7210744023323059
display,3,2,0.718881756067276
pinch,2,2,0.7062732577323914
test,7,1,0.6974048018455505
mount,2,4,0.6961948573589325
smother,1,1,0.6949314773082733
bar,1,1,0.69395911693573
spot,2,1,0.6918047368526459
mark,8,1,0.674367755651474
grimace,1,1,0.6689045429229736
reinterpret,1,1,0.656461238861084
click,3,1,0.6526303589344025
reflect,3,8,0.6487809419631958
reside,1,1,0.615809828042984
issue,6,3,0.614681214094162
crawl,1,1,0.6101653575897217
communicate,2,2,0.6019339561462402
thrash,1,1,0.6016678810119629
crush,1,1,0.6010411381721497
reserve,2,1,0.5915492177009583
streamline,1,1,0.5863916277885437
aspire,1,1,0.5857156217098236
cheer,2,1,0.5823332071304321
search,6,3,0.5810878276824951
overlap,5,1,0.5791809856891632
list,8,2,0.5767388343811035
lag,2,3,0.5639516413211823
exchange,1,1,0.5484150648117065
postpone,4,1,0.5452903211116791
beg,4,1,0.5433090329170227
compete,4,1,0.5317994058132172
inform,8,1,0.5303397178649902
swing,5,4,0.5275937616825104
trace,1,1,0.5274870693683624
fetch,2,1,0.5267230868339539
boil,1,2,0.5221484005451202
absorb,1,3,0.5207202434539795
burn,8,2,0.5206029415130615
hop,8,2,0.5176541805267334
shiver,1,1,0.515826553106308
donate,1,2,0.5156193673610687
serve,8,8,0.5126880705356598
bleed,2,1,0.5095114707946777
release,3,3,0.5034456849098206
warn,8,2,0.4950454831123352
promise,8,1,0.49480491876602173
sustain,2,2,0.49144816398620605
fold,3,2,0.48680776357650757
tackle,3,8,0.48484188318252563
tumble,4,1,0.4707576036453247
swallow,2,1,0.4652148485183716
launch,2,7,0.46423524618148804
hug,2,1,0.45598459243774414
paint,8,2,0.45463645458221436
dazzle,1,1,0.44982361793518066
assist,8,4,0.44227445125579834
fight,8,8,0.4370143413543701
underlie,2,1,0.4352513551712036
caress,1,1,0.43481582403182983
damage,1,1,0.43238556385040283
return,8,5,0.42877840995788574
pursue,1,6,0.4279337525367737
describe,8,8,0.4266810417175293
reconstruct,1,2,0.42301928997039795
accept,8,3,0.4213104248046875
slide,5,1,0.4203757047653198
wipe,2,2,0.41622400283813477
spur,1,1,0.41568493843078613
sit,8,8,0.41333287954330444
defeat,1,4,0.41252338886260986
bow,3,2,0.41212302446365356
rattle,2,1,0.4112622141838074
kick,7,3,0.410658061504364
draw,8,8,0.4046766757965088
rejoice,1,1,0.40362048149108887
administer,3,2,0.40222400426864624
resist,2,1,0.39939653873443604
flow,1,3,0.3987312912940979
transmit,1,1,0.39867228269577026
cover,8,8,0.3962571620941162
hamper,1,3,0.396181583404541
chase,1,2,0.3894103765487671
shove,2,1,0.3877420425415039
manufacture,5,1,0.38492918014526367
amuse,3,2,0.37916213274002075
hurl,1,1,0.37705886363983154
moan,3,2,0.3768516778945923
remove,6,8,0.3767589330673218
acquiesce,2,1,0.374203622341156
propel,1,1,0.3719474673271179
owe,8,5,0.365867018699646
invent,4,1,0.3641689419746399
award,2,2,0.3616127371788025
rest,8,8,0.3607361912727356
hurt,4,1,0.3605007529258728
raise,8,8,0.3580355644226074
strike,8,8,0.35427480936050415
submit,3,1,0.3532907962799072
watch,8,4,0.3489242196083069
manage,8,8,0.3482866883277893
shift,4,5,0.34450578689575195
play,8,8,0.34405428171157837
couple,1,1,0.34263110160827637
commit,6,8,0.3421212434768677
stimulate,2,1,0.3379068970680237
read,8,5,0.33552902936935425
break,8,8,0.33458179235458374
enlighten,1,1,0.3207530379295349
cut,8,8,0.31816959381103516
wait,8,6,0.3151010274887085
supervise,7,1,0.3146396279335022
perform,8,2,0.30703282356262207
light,5,2,0.3059194087982178
open,8,8,0.305874764919281
correct,1,1,0.3016998767852783
confine,2,3,0.29987144470214844
arrive,8,5,0.2980491518974304
score,2,3,0.2974337935447693
impose,8,5,0.29728180170059204
acknowledge,8,1,0.2972490191459656
decay,1,2,0.294251024723053
phone,8,1,0.29275262355804443
squeeze,4,1,0.291079580783844
see,8,8,0.29072749614715576
clutch,4,1,0.288651704788208
get,8,8,0.28280192613601685
keep,8,8,0.28236544132232666
strew,1,1,0.2804144620895386
flee,2,1,0.27944231033325195
enjoy,8,3,0.27650511264801025
tremble,1,3,0.27504128217697144
fill,8,8,0.26914334297180176
dominate,2,7,0.268122136592865
bring,8,8,0.2666381001472473
start,8,8,0.2665500044822693
preserve,8,6,0.2662108540534973
possess,2,7,0.2644810080528259
transfer,3,2,0.2597847580909729
take,8,8,0.2506144642829895
spread,7,8,0.2492614984512329
presume,5,1,0.24855256080627441
weave,3,3,0.24356842041015625
discover,4,5,0.24301522970199585
survive,5,2,0.23806512355804443
go,8,8,0.23753196001052856
felt,8,8,0.23712098598480225
suggest,8,8,0.2366616129875183
surround,8,4,0.23581093549728394
dictate,2,5,0.2351391315460205
glitter,2,3,0.23508167266845703
integrate,8,1,0.2308027148246765
wonder,8,1,0.22733592987060547
give,8,8,0.22081375122070312
throw,8,7,0.21990972757339478
arouse,2,2,0.2155846357345581
retain,4,3,0.21530979871749878
enter,8,8,0.21499711275100708
define,8,8,0.21469396352767944
settle,5,8,0.21277320384979248
collect,8,6,0.2121790051460266
observe,8,4,0.2108520269393921
deserve,5,4,0.2101752758026123
catch,8,8,0.20639407634735107
talk,8,6,0.19958066940307617
focus,5,4,0.18555498123168945
achieve,8,4,0.1821885108947754
stay,8,8,0.18210268020629883
gamble,2,3,0.17941910028457642
convert,5,2,0.17570549249649048
maintain,2,8,0.17454594373703003
address,6,3,0.17238324880599976
knock,4,6,0.17160457372665405
distinguish,8,6,0.15951043367385864
emerge,6,8,0.15832829475402832
let,8,8,0.14681172370910645
link,5,8,0.1323886513710022
tend,8,3,0.12221550941467285
deal,8,8,0.12152999639511108
saw,8,8,0.12075436115264893
prepare,8,8,0.10876250267028809
appear,8,8,0.10798704624176025
assess,8,6,0.10494059324264526
obtain,8,6,0.07884389162063599
