lemma,n_literal,n_metaphorical,centroid_distance
assemble,1,4,1.0556758865714073
activate,1,2,0.9711833316832781
march,1,1,0.9450520314276218
question,2,1,0.910192184150219
sing,8,1,0.8964690342545509
shed,1,2,0.8864617571234703
loom,2,1,0.8706484586000443
register,3,1,0.865559384226799
interrupt,4,2,0.8445315808057785
unfold,2,1,0.841765820980072
pinch,2,2,0.8376264274120331
posture,1,2,0.7767190635204315
mark,8,1,0.7600309103727341
prune,1,1,0.7365228533744812
mount,2,4,0.7286103367805481
smother,1,1,0.7263903617858887
tailor,1,1,0.7242466807365417
rank,1,1,0.7219269871711731
test,7,1,0.7086412608623505
spot,2,1,0.6987463235855103
grimace,1,1,0.6872140169143677
confirm,7,3,0.6784577965736389
conquer,1,1,0.6609384715557098
crawl,1,1,0.6537387073040009
communicate,2,2,0.6488538086414337
enact,1,2,0.6485205888748169
burn,8,2,0.6435528695583344
reinterpret,1,1,0.6395644545555115
reflect,3,8,0.6387008130550385
click,3,1,0.6378545165061951
bar,1,1,0.636157751083374
release,3,3,0.6237501800060272
list,8,2,0.6187100112438202
display,3,2,0.6037603914737701
swing,5,4,0.6030935645103455
reserve,2,1,0.6024797558784485
aspire,1,1,0.5949279963970184
crush,1,1,0.59213787317276
streamline,1,1,0.5886684060096741
thrash,1,1,0.5876486897468567
overlap,5,1,0.5855563282966614
search,6,3,0.5827799439430237
sustain,2,2,0.5753134489059448
fetch,2,1,0.5699184536933899
cheer,2,1,0.5646416246891022
reside,1,1,0.5633248388767242
order,7,1,0.5560149550437927
beg,4,1,0.5551711618900299
fold,3,2,0.5485239326953888
exchange,1,1,0.5464744865894318
compete,4,1,0.5459824800491333
postpone,4,1,0.5428626239299774
bleed,2,1,0.5426086485385895
promise,8,1,0.5373160541057587
issue,6,3,0.5301374793052673
paint,8,2,0.5281379818916321
inform,8,1,0.5263925194740295
lag,2,3,0.5259368419647217
absorb,1,3,0.520983099937439
hop,8,2,0.5076224207878113
donate,1,2,0.5048662722110748
warn,8,2,0.4981287121772766
trace,1,1,0.4977630376815796
tumble,4,1,0.49693411588668823
boil,1,2,0.49224984645843506
shiver,1,1,0.4902822971343994
tackle,3,8,0.48974674940109253
kick,7,3,0.4793899655342102
bow,3,2,0.4752465486526489
wipe,2,2,0.47238612174987793
owe,8,5,0.47019028663635254
underlie,2,1,0.4697687029838562
serve,8,8,0.4622669219970703
transmit,1,1,0.46003490686416626
describe,8,8,0.45935434103012085
swallow,2,1,0.44964540004730225
dazzle,1,1,0.4493197202682495
assist,8,4,0.44872021675109863
sit,8,8,0.4462469816207886
hug,2,1,0.44249439239501953
caress,1,1,0.44247156381607056
watch,8,4,0.4387539029121399
administer,3,2,0.43826282024383545
pursue,1,6,0.43563681840896606
return,8,5,0.43011391162872314
defeat,1,4,0.4257388710975647
reconstruct,1,2,0.4208548069000244
rattle,2,1,0.42051422595977783
fight,8,8,0.4141460061073303
rest,8,8,0.4137178063392639
damage,1,1,0.4132891893386841
accept,8,3,0.4131760597229004
launch,2,7,0.4122997522354126
submit,3,1,0.41219639778137207
slide,5,1,0.4102857708930969
spur,1,1,0.4096134305000305
cover,8,8,0.404274582862854
manufacture,5,1,0.4035448431968689
chase,1,2,0.40072518587112427
flow,1,3,0.39584338665008545
draw,8,8,0.3955467939376831
couple,1,1,0.39385515451431274
resist,2,1,0.39239734411239624
shove,2,1,0.3894492983818054
acquiesce,2,1,0.37986135482788086
stimulate,2,1,0.37481003999710083
play,8,8,0.37312382459640503
invent,4,1,0.37228381633758545
propel,1,1,0.3720998764038086
hamper,1,3,0.37167608737945557
light,5,2,0.37133365869522095
amuse,3,2,0.3708767294883728
remove,6,8,0.368533730506897
strike,8,8,0.36831289529800415
rejoice,1,1,0.36744755506515503
award,2,2,0.3661007285118103
read,8,5,0.3650428056716919
break,8,8,0.3641064167022705
hurl,1,1,0.3621940612792969
manage,8,8,0.3532276153564453
moan,3,2,0.35243773460388184
commit,6,8,0.3507693409919739
raise,8,8,0.34835362434387207
flee,2,1,0.34287595748901367
hurt,4,1,0.34115415811538696
get,8,8,0.3368382453918457
perform,8,2,0.3295379877090454
enjoy,8,3,0.32930493354797363
start,8,8,0.325741171836853
enlighten,1,1,0.32345300912857056
open,8,8,0.3231768012046814
preserve,8,6,0.31926220655441284
cut,8,8,0.31429028511047363
decay,1,2,0.31315213441848755
presume,5,1,0.3089434504508972
transfer,3,2,0.3088655471801758
wait,8,6,0.30730319023132324
fill,8,8,0.3054126501083374
impose,8,5,0.3042963743209839
strew,1,1,0.3015708327293396
